,date,symbol,open,high,low,close
81,20240621 14:30:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
82,20240621 14:40:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
83,20240621 14:50:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
84,20240621 15:00:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
85,20240621 15:10:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
86,20240621 15:20:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
87,20240621 15:30:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
88,20240621 15:40:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
89,20240621 15:50:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
90,20240624 08:30:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
91,20240624 08:40:00 US/Central,SR3H5,95.46,95.465,95.455,95.465
92,20240624 08:50:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
93,20240624 09:00:00 US/Central,SR3H5,95.465,95.47,95.46,95.47
94,20240624 09:10:00 US/Central,SR3H5,95.47,95.47,95.46,95.465
95,20240624 09:20:00 US/Central,SR3H5,95.465,95.47,95.46,95.465
96,20240624 09:30:00 US/Central,SR3H5,95.465,95.47,95.46,95.465
97,20240624 09:40:00 US/Central,SR3H5,95.465,95.47,95.455,95.465
98,20240624 09:50:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
99,20240624 10:00:00 US/Central,SR3H5,95.46,95.465,95.455,95.465
100,20240624 10:10:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
101,20240624 10:20:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
102,20240624 10:30:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
103,20240624 10:40:00 US/Central,SR3H5,95.465,95.465,95.455,95.465
104,20240624 10:50:00 US/Central,SR3H5,95.465,95.465,95.455,95.465
105,20240624 11:00:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
106,20240624 11:10:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
107,20240624 11:20:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
108,20240624 11:30:00 US/Central,SR3H5,95.46,95.465,95.455,95.465
109,20240624 11:40:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
110,20240624 11:50:00 US/Central,SR3H5,95.465,95.465,95.455,95.465
111,20240624 12:00:00 US/Central,SR3H5,95.465,95.465,95.455,95.465
112,20240624 12:10:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
113,20240624 12:20:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
114,20240624 12:30:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
115,20240624 12:40:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
116,20240624 12:50:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
117,20240624 13:00:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
118,20240624 13:10:00 US/Central,SR3H5,95.465,95.47,95.46,95.47
119,20240624 13:20:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
120,20240624 13:30:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
121,20240624 13:40:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
122,20240624 13:50:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
123,20240624 14:00:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
124,20240624 14:10:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
125,20240624 14:20:00 US/Central,SR3H5,95.47,95.47,95.465,95.47
126,20240624 14:30:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
127,20240624 14:40:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
128,20240624 14:50:00 US/Central,SR3H5,95.47,95.475,95.465,95.47
129,20240624 15:00:00 US/Central,SR3H5,95.47,95.485,95.465,95.485
130,20240624 15:10:00 US/Central,SR3H5,95.485,95.485,95.475,95.485
131,20240624 15:20:00 US/Central,SR3H5,95.485,95.485,95.48,95.485
132,20240624 15:30:00 US/Central,SR3H5,95.485,95.485,95.48,95.485
133,20240624 15:40:00 US/Central,SR3H5,95.485,95.485,95.475,95.48
134,20240624 15:50:00 US/Central,SR3H5,95.48,95.48,95.475,95.48
135,20240625 08:30:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
136,20240625 08:40:00 US/Central,SR3H5,95.465,95.465,95.455,95.46
137,20240625 08:50:00 US/Central,SR3H5,95.46,95.465,95.455,95.46
138,20240625 09:00:00 US/Central,SR3H5,95.46,95.46,95.445,95.455
139,20240625 09:10:00 US/Central,SR3H5,95.455,95.455,95.445,95.455
140,20240625 09:20:00 US/Central,SR3H5,95.455,95.46,95.45,95.46
141,20240625 09:30:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
142,20240625 09:40:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
143,20240625 09:50:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
144,20240625 10:00:00 US/Central,SR3H5,95.46,95.46,95.45,95.455
145,20240625 10:10:00 US/Central,SR3H5,95.455,95.455,95.445,95.45
146,20240625 10:20:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
147,20240625 10:30:00 US/Central,SR3H5,95.45,95.45,95.44,95.45
148,20240625 10:40:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
149,20240625 10:50:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
150,20240625 11:00:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
151,20240625 11:10:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
152,20240625 11:20:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
